date,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_target,away_shots_target
2020-12-16,2021,Hoffenheim,RB Leipzig,0,1,A,7.0,4.0,3.0,3.0
2020-12-18,2021,Union Berlin,Dortmund,2,1,H,12.0,16.0,5.0,4.0
2020-12-19,2021,Schalke 04,Bielefeld,0,1,A,11.0,8.0,5.0,3.0
2020-12-19,2021,Leverkusen,Bayern Munich,1,2,A,8.0,14.0,3.0,3.0
2020-12-19,2021,RB Leipzig,FC Koln,0,0,D,14.0,4.0,6.0,1.0
2020-12-19,2021,Augsburg,Ein Frankfurt,0,2,A,15.0,15.0,4.0,6.0
2020-12-19,2021,Mainz,Werder Bremen,0,1,A,9.0,13.0,1.0,7.0
2020-12-19,2021,M'gladbach,Hoffenheim,1,2,A,15.0,14.0,5.0,5.0
2020-12-20,2021,Freiburg,Hertha,4,1,H,17.0,10.0,9.0,3.0
2020-12-20,2021,Wolfsburg,Stuttgart,1,0,H,13.0,9.0,4.0,1.0
2021-01-02,2021,Bielefeld,M'gladbach,0,1,A,7.0,22.0,0.0,7.0
2021-01-02,2021,Ein Frankfurt,Leverkusen,2,1,H,10.0,10.0,4.0,2.0
2021-01-02,2021,FC Koln,Augsburg,0,1,A,12.0,11.0,2.0,4.0
2021-01-02,2021,Hoffenheim,Freiburg,1,3,A,13.0,7.0,6.0,4.0
2021-01-02,2021,Werder Bremen,Union Berlin,0,2,A,10.0,9.0,2.0,2.0
2021-01-02,2021,Hertha,Schalke 04,3,0,H,20.0,10.0,10.0,4.0
2021-01-02,2021,Stuttgart,RB Leipzig,0,1,A,10.0,22.0,1.0,9.0
2021-01-03,2021,Dortmund,Wolfsburg,2,0,H,14.0,22.0,7.0,5.0
2021-01-03,2021,Bayern Munich,Mainz,5,2,H,19.0,12.0,12.0,7.0
2021-01-08,2021,M'gladbach,Bayern Munich,3,2,H,8.0,15.0,4.0,4.0
2021-01-09,2021,Freiburg,FC Koln,5,0,H,12.0,5.0,6.0,2.0
2021-01-09,2021,Leverkusen,Werder Bremen,1,1,D,12.0,3.0,3.0,1.0
2021-01-09,2021,Mainz,Ein Frankfurt,0,2,A,8.0,15.0,0.0,7.0
2021-01-09,2021,Schalke 04,Hoffenheim,4,0,H,12.0,18.0,5.0,5.0
2021-01-09,2021,Union Berlin,Wolfsburg,2,2,D,13.0,11.0,6.0,5.0
2021-01-09,2021,RB Leipzig,Dortmund,1,3,A,12.0,15.0,4.0,7.0
2021-01-10,2021,Augsburg,Stuttgart,1,4,A,14.0,27.0,4.0,11.0
2021-01-10,2021,Bielefeld,Hertha,1,0,H,12.0,10.0,2.0,6.0
2021-01-15,2021,Union Berlin,Leverkusen,1,0,H,10.0,12.0,2.0,4.0
2021-01-16,2021,Stuttgart,M'gladbach,2,2,D,19.0,8.0,7.0,5.0
2021-01-16,2021,Hoffenheim,Bielefeld,0,0,D,11.0,8.0,5.0,2.0
2021-01-16,2021,Wolfsburg,RB Leipzig,2,2,D,8.0,13.0,2.0,9.0
2021-01-16,2021,Werder Bremen,Augsburg,2,0,H,10.0,6.0,5.0,2.0
2021-01-16,2021,FC Koln,Hertha,0,0,D,8.0,14.0,2.0,3.0
2021-01-16,2021,Dortmund,Mainz,1,1,D,17.0,8.0,7.0,3.0
2021-01-17,2021,Bayern Munich,Freiburg,2,1,H,25.0,8.0,9.0,3.0
2021-01-17,2021,Ein Frankfurt,Schalke 04,3,1,H,20.0,5.0,11.0,1.0
2021-01-19,2021,M'gladbach,Werder Bremen,1,0,H,11.0,11.0,6.0,2.0
2021-01-19,2021,Hertha,Hoffenheim,0,3,A,13.0,11.0,2.0,6.0
2021-01-19,2021,Leverkusen,Dortmund,2,1,H,23.0,15.0,13.0,3.0
2021-01-19,2021,Mainz,Wolfsburg,0,2,A,8.0,8.0,0.0,2.0
2021-01-20,2021,Freiburg,Ein Frankfurt,2,2,D,11.0,17.0,4.0,4.0
2021-01-20,2021,Bielefeld,Stuttgart,3,0,H,9.0,11.0,3.0,3.0
2021-01-20,2021,RB Leipzig,Union Berlin,1,0,H,15.0,4.0,5.0,1.0
2021-01-20,2021,Schalke 04,FC Koln,1,2,A,15.0,12.0,8.0,4.0
2021-01-20,2021,Augsburg,Bayern Munich,0,1,A,9.0,17.0,0.0,4.0
2021-01-22,2021,M'gladbach,Dortmund,4,2,H,10.0,16.0,7.0,7.0
2021-01-23,2021,Augsburg,Union Berlin,2,1,H,8.0,9.0,4.0,5.0
2021-01-23,2021,Bielefeld,Ein Frankfurt,1,5,A,8.0,15.0,4.0,8.0
2021-01-23,2021,Freiburg,Stuttgart,2,1,H,9.0,27.0,4.0,11.0
2021-01-23,2021,Leverkusen,Wolfsburg,0,1,A,10.0,8.0,4.0,4.0
2021-01-23,2021,Mainz,RB Leipzig,3,2,H,10.0,12.0,4.0,5.0
2021-01-23,2021,Hertha,Werder Bremen,1,4,A,18.0,7.0,10.0,5.0
2021-01-24,2021,Schalke 04,Bayern Munich,0,4,A,14.0,32.0,4.0,14.0
2021-01-24,2021,Hoffenheim,FC Koln,3,0,H,13.0,13.0,4.0,4.0
2021-01-29,2021,Stuttgart,Mainz,2,0,H,9.0,10.0,3.0,2.0
2021-01-30,2021,RB Leipzig,Leverkusen,1,0,H,16.0,8.0,2.0,4.0
2021-01-30,2021,Werder Bremen,Schalke 04,1,1,D,15.0,6.0,6.0,1.0
2021-01-30,2021,Union Berlin,M'gladbach,1,1,D,13.0,12.0,3.0,4.0
2021-01-30,2021,Ein Frankfurt,Hertha,3,1,H,17.0,11.0,8.0,4.0
2021-01-30,2021,Bayern Munich,Hoffenheim,4,1,H,15.0,15.0,9.0,5.0
2021-01-30,2021,Dortmund,Augsburg,3,1,H,14.0,5.0,5.0,1.0
2021-01-31,2021,FC Koln,Bielefeld,3,1,H,14.0,9.0,7.0,3.0
2021-01-31,2021,Wolfsburg,Freiburg,3,0,H,12.0,9.0,6.0,2.0
2021-02-05,2021,Hertha,Bayern Munich,0,1,A,11.0,17.0,7.0,7.0
2021-02-06,2021,Augsburg,Wolfsburg,0,2,A,9.0,17.0,1.0,9.0
2021-02-06,2021,Freiburg,Dortmund,2,1,H,6.0,16.0,3.0,5.0
2021-02-06,2021,Leverkusen,Stuttgart,5,2,H,25.0,14.0,11.0,7.0
2021-02-06,2021,Mainz,Union Berlin,1,0,H,9.0,10.0,5.0,3.0
2021-02-06,2021,Schalke 04,RB Leipzig,0,3,A,3.0,24.0,1.0,10.0
2021-02-06,2021,M'gladbach,FC Koln,1,2,A,10.0,7.0,2.0,3.0
2021-02-07,2021,Hoffenheim,Ein Frankfurt,1,3,A,8.0,9.0,2.0,5.0
2021-02-12,2021,RB Leipzig,Augsburg,2,1,H,16.0,4.0,6.0,2.0
2021-02-13,2021,Dortmund,Hoffenheim,2,2,D,6.0,12.0,3.0,6.0
2021-02-13,2021,Leverkusen,Mainz,2,2,D,11.0,19.0,5.0,6.0
2021-02-13,2021,Stuttgart,Hertha,1,1,D,11.0,11.0,3.0,3.0
2021-02-13,2021,Werder Bremen,Freiburg,0,0,D,12.0,8.0,4.0,2.0
2021-02-13,2021,Union Berlin,Schalke 04,0,0,D,19.0,6.0,3.0,1.0
2021-02-14,2021,Ein Frankfurt,FC Koln,2,0,H,17.0,6.0,7.0,1.0
2021-02-14,2021,Wolfsburg,M'gladbach,0,0,D,18.0,12.0,6.0,4.0
2021-02-15,2021,Bayern Munich,Bielefeld,3,3,D,19.0,7.0,11.0,3.0
2021-02-19,2021,Bielefeld,Wolfsburg,0,3,A,7.0,11.0,2.0,6.0
2021-02-20,2021,Schalke 04,Dortmund,0,4,A,13.0,9.0,2.0,6.0
2021-02-20,2021,Freiburg,Union Berlin,0,1,A,9.0,15.0,1.0,4.0
2021-02-20,2021,M'gladbach,Mainz,1,2,A,12.0,8.0,3.0,6.0
2021-02-20,2021,Ein Frankfurt,Bayern Munich,2,1,H,12.0,22.0,6.0,6.0
2021-02-20,2021,FC Koln,Stuttgart,0,1,A,9.0,9.0,0.0,3.0
2021-02-21,2021,Augsburg,Leverkusen,1,1,D,6.0,10.0,3.0,3.0
2021-02-21,2021,Hertha,RB Leipzig,0,3,A,8.0,14.0,4.0,7.0
2021-02-21,2021,Hoffenheim,Werder Bremen,4,0,H,12.0,3.0,6.0,1.0
2021-02-26,2021,Werder Bremen,Ein Frankfurt,2,1,H,9.0,13.0,5.0,4.0
2021-02-27,2021,Bayern Munich,FC Koln,5,1,H,15.0,6.0,7.0,3.0
2021-02-27,2021,Dortmund,Bielefeld,3,0,H,20.0,8.0,9.0,2.0
2021-02-27,2021,Stuttgart,Schalke 04,5,1,H,19.0,11.0,10.0,5.0
2021-02-27,2021,Wolfsburg,Hertha,2,0,H,11.0,7.0,2.0,2.0
2021-02-27,2021,RB Leipzig,M'gladbach,3,2,H,21.0,5.0,11.0,2.0
2021-02-28,2021,Mainz,Augsburg,0,1,A,10.0,8.0,5.0,3.0
2021-02-28,2021,Leverkusen,Freiburg,1,2,A,21.0,6.0,5.0,3.0
2021-02-28,2021,Union Berlin,Hoffenheim,1,1,D,4.0,15.0,1.0,4.0
2021-03-05,2021,Schalke 04,Mainz,0,0,D,2.0,19.0,2.0,2.0
