date,season,match_id,home_team,away_team,home_goals,away_goals,result,home_atk_pre,home_def_pre,away_atk_pre,away_def_pre,home_atk_post,home_def_post,away_atk_post,away_def_post,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2020-10-25,2021,43,Werder Bremen,Hoffenheim,1,1,D,-0.0122,-0.0101,0.0287,-0.0142,-0.028,-0.0185,0.0204,-0.03,1512.11,1511.74,1510.19,1513.66
2020-10-26,2021,44,Leverkusen,Augsburg,3,1,H,-0.06,-0.0942,-0.0276,-0.0655,-0.0325,-0.0988,-0.0322,-0.038,1520.67,1522.3,1543.65,1499.32
2020-10-30,2021,45,Schalke 04,Stuttgart,1,1,D,-0.1086,0.1895,0.027,-0.0375,-0.1204,0.175,0.0124,-0.0493,1395.91,1535.7,1399.28,1532.33
2020-10-31,2021,46,Augsburg,Mainz,3,1,H,-0.0322,-0.038,-0.0794,0.1362,-0.013,-0.0427,-0.0841,0.1553,1499.32,1374.16,1513.58,1359.9
2020-10-31,2021,47,Bielefeld,Dortmund,0,2,A,-0.0739,-0.0038,0.0449,-0.1129,-0.1044,0.0072,0.0559,-0.1435,1448.21,1580.03,1427.71,1600.53
2020-10-31,2021,48,Ein Frankfurt,Werder Bremen,1,1,D,-0.0194,0.0077,-0.028,-0.0185,-0.0348,0.0005,-0.0353,-0.0339,1514.15,1510.19,1512.1,1512.24
2020-10-31,2021,49,FC Koln,Bayern Munich,1,2,A,-0.0603,0.0178,0.2567,0.0006,-0.0749,0.0212,0.2601,-0.014,1439.75,1590.84,1425.41,1605.18
2020-10-31,2021,50,M'gladbach,RB Leipzig,1,0,H,0.0043,-0.0005,0.0633,-0.0907,-0.0094,-0.0301,0.0337,-0.1045,1514.25,1590.47,1535.76,1568.96
2020-11-01,2021,51,Freiburg,Leverkusen,2,4,A,-0.0352,0.013,-0.0325,-0.0988,-0.0274,0.0657,0.0203,-0.091,1485.82,1543.65,1459.75,1569.71
2020-11-01,2021,52,Hertha,Wolfsburg,1,1,D,0.0188,0.0622,-0.0766,-0.0899,0.0045,0.0548,-0.084,-0.1042,1448.07,1517.8,1448.82,1517.04
2020-11-02,2021,53,Hoffenheim,Union Berlin,1,3,A,0.0204,-0.03,-0.0156,-0.0324,0.0041,0.0034,0.0178,-0.0488,1513.66,1498.02,1482.02,1529.67
2020-11-06,2021,54,Werder Bremen,FC Koln,1,1,D,-0.0353,-0.0339,-0.0749,0.0212,-0.0515,-0.0388,-0.0799,0.0049,1512.24,1425.41,1507.25,1430.41
2020-11-07,2021,55,RB Leipzig,Freiburg,3,0,H,0.0337,-0.1045,-0.0274,0.0657,0.0531,-0.1289,-0.0517,0.0851,1568.96,1459.75,1588.01,1440.71
2020-11-07,2021,56,Mainz,Schalke 04,2,2,D,-0.0841,0.1553,-0.1204,0.175,-0.0844,0.1665,-0.1092,0.1747,1359.9,1399.28,1359.5,1399.69
2020-11-07,2021,57,Augsburg,Hertha,0,3,A,-0.013,-0.0427,0.0045,0.0548,-0.0514,-0.0095,0.0378,0.0164,1513.58,1448.82,1469.62,1492.78
2020-11-07,2021,58,Dortmund,Bayern Munich,2,3,A,0.0559,-0.1435,0.2601,-0.014,0.0575,-0.1147,0.2889,-0.0124,1600.53,1605.18,1577.93,1627.77
2020-11-07,2021,59,Union Berlin,Bielefeld,5,0,H,0.0178,-0.0488,-0.1044,0.0072,0.0801,-0.0726,-0.1282,0.0695,1529.67,1427.71,1553.21,1404.16
2020-11-07,2021,60,Stuttgart,Ein Frankfurt,2,2,D,0.0124,-0.0493,-0.0348,0.0005,0.0152,-0.0349,-0.0204,0.0032,1532.33,1512.1,1529.67,1514.76
2020-11-08,2021,61,Wolfsburg,Hoffenheim,2,1,H,-0.084,-0.1042,0.0041,0.0034,-0.0779,-0.1093,-0.0011,0.0095,1517.04,1482.02,1532.24,1466.82
2020-11-08,2021,62,Leverkusen,M'gladbach,4,3,H,0.0203,-0.091,-0.0094,-0.0301,0.0638,-0.0562,0.0254,0.0135,1569.71,1535.76,1584.97,1520.5
2020-11-21,2021,63,Bayern Munich,Werder Bremen,1,1,D,0.2889,-0.0124,-0.0515,-0.0388,0.2616,-0.0185,-0.0576,-0.0661,1627.77,1507.25,1621.71,1513.31
2020-11-21,2021,64,Bielefeld,Leverkusen,1,2,A,-0.1282,0.0695,0.0638,-0.0562,-0.1388,0.0778,0.0721,-0.0668,1404.16,1584.97,1391.36,1597.78
2020-11-21,2021,65,Hoffenheim,Stuttgart,3,3,D,-0.0011,0.0095,0.0152,-0.0349,0.0234,0.041,0.0467,-0.0104,1466.82,1529.67,1467.31,1529.18
2020-11-21,2021,66,M'gladbach,Augsburg,1,1,D,0.0254,0.0135,-0.0514,-0.0095,0.008,0.0067,-0.0582,-0.0269,1520.5,1469.62,1516.73,1473.38
2020-11-21,2021,67,Schalke 04,Wolfsburg,0,2,A,-0.1092,0.1747,-0.0779,-0.1093,-0.1388,0.184,-0.0685,-0.1389,1399.69,1532.24,1379.24,1552.69
2020-11-21,2021,68,Ein Frankfurt,RB Leipzig,1,1,D,-0.0204,0.0032,0.0531,-0.1289,-0.0321,-0.0062,0.0437,-0.1406,1514.76,1588.01,1515.65,1587.12
2020-11-21,2021,69,Hertha,Dortmund,2,5,A,0.0378,0.0164,0.0575,-0.1147,0.0437,0.0865,0.1276,-0.1088,1492.78,1577.93,1462.81,1607.9
2020-11-22,2021,70,Freiburg,Mainz,1,3,A,-0.0517,0.0851,-0.0844,0.1665,-0.073,0.1172,-0.0522,0.1453,1440.71,1359.5,1404.42,1395.78
2020-11-22,2021,71,FC Koln,Union Berlin,1,2,A,-0.0799,0.0049,0.0801,-0.0726,-0.0915,0.0146,0.0898,-0.0842,1430.41,1553.21,1414.54,1569.08
2020-11-27,2021,72,Wolfsburg,Werder Bremen,5,3,H,-0.0685,-0.1389,-0.0576,-0.0661,-0.0007,-0.1017,-0.0205,0.0018,1552.69,1513.31,1572.64,1493.36
2020-11-28,2021,73,Augsburg,Freiburg,1,1,D,-0.0582,-0.0269,-0.073,0.1172,-0.0772,-0.032,-0.0782,0.0982,1473.38,1404.42,1468.99,1408.82
2020-11-28,2021,74,Dortmund,FC Koln,1,2,A,0.1276,-0.1088,-0.0915,0.0146,0.1052,-0.0915,-0.0742,-0.0078,1607.9,1414.54,1575.81,1446.63
2020-11-28,2021,75,RB Leipzig,Bielefeld,2,1,H,0.0437,-0.1406,-0.1388,0.0778,0.0421,-0.1416,-0.1399,0.0762,1587.12,1391.36,1594.94,1383.54
2020-11-28,2021,76,Stuttgart,Bayern Munich,1,3,A,0.0467,-0.0104,0.2616,-0.0185,0.0288,0.0139,0.2859,-0.0363,1529.18,1621.71,1505.76,1645.13
2020-11-28,2021,77,Union Berlin,Ein Frankfurt,3,3,D,0.0898,-0.0842,-0.0321,-0.0062,0.1098,-0.049,0.0032,0.0138,1569.08,1515.65,1565.22,1519.51
